City,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
Leshukonskoye,45.76,64.9,34.08,95,100,12.73
Kirovskaya,40.04,46.97,57.2,76,0,8.95
Goure,10.27,13.98,90.0,40,90,5.99
Matara,29.48,-3.48,52.51,87,31,1.68
Sibolga,98.78,1.74,79.95,78,73,11.23
Shingu,135.99,33.72,62.5,95,33,7.72
Carnarvon,22.13,-30.97,59.43,18,0,8.16
Seoul,126.98,37.57,69.01,106,90,3.36
Pinega,43.39,64.7,35.13,95,90,12.46
Vaini,74.49,15.34,74.67,94,31,1.66
Eureka,-124.16,40.8,62.4,55,20,8.05
Klaksvik,-6.59,62.23,44.6,81,0,2.24
Videira,-51.15,-27.01,77.17,58,55,3.42
Khrebtovaya,104.25,56.71,29.96,86,83,7.85
Santona,-3.46,43.44,61.7,82,75,3.36
Kortkeros,51.56,61.81,44.6,93,75,6.71
Martin,-88.85,36.34,94.03,34,1,10.29
Vao,26.19,59.1,44.81,75,100,5.28
Husavik,-96.99,50.56,43.7,76,31,6.8
Thinadhoo,72.93,0.53,82.39,80,97,15.14
Elko,-115.76,40.83,50.97,37,1,4.7
Winnemucca,-117.74,40.97,54.57,26,1,3.33
Ixtapa,-105.21,20.71,87.89,58,40,8.05
Muros,-9.06,42.77,57.92,87,0,3.36
Huntington,-73.43,40.87,84.61,78,20,8.05
Vostok,135.83,46.45,58.67,91,92,3.51
Aksha,113.29,50.28,27.64,60,66,4.47
Atocha,-65.48,-24.82,61.84,25,0,8.05
Hambantota,81.12,6.12,81.15,78,0,6.71
Ola,151.3,59.58,33.69,77,100,10.42
Asosa,34.53,10.07,65.19,92,100,6.26
Lompoc,-120.46,34.64,73.74,20,1,4.7
Tecoanapa,-99.26,16.99,86.0,79,40,9.17
Hasilpur,72.55,29.69,80.72,46,100,5.23
Hasaki,140.83,35.73,62.33,93,40,1.12
Hatillo,-66.83,18.49,85.68,79,1,11.41
Basco,-91.2,40.33,78.84,88,90,5.82
Henties Bay,14.28,-22.12,63.0,87,0,5.99
Hays,-99.33,38.88,55.17,87,90,9.17
Guerrero Negro,-114.04,27.97,66.48,77,0,10.47
Padang,100.36,-0.92,77.86,84,43,14.5
Geraldton,-86.95,49.72,35.6,74,90,4.7
Maumere,122.22,-8.63,73.12,74,0,2.71
Batemans Bay,150.18,-35.71,47.93,90,0,1.01
High Level,-117.13,58.52,53.6,50,20,9.17
Tiarei,-149.33,-17.53,80.28,65,20,4.7
Codrington,153.24,-28.95,46.15,100,0,8.05
Castro,-73.76,-42.48,51.8,53,20,5.82
Mushie,16.92,-3.02,72.49,90,8,1.81
Melur,78.34,10.03,82.4,74,40,3.36
Opuwo,13.84,-18.06,59.37,46,0,2.89
Vanimo,141.3,-2.67,80.72,76,98,3.83
Kaitangata,169.85,-46.28,44.01,76,100,7.0
Port Lincoln,135.86,-34.72,56.78,84,100,7.16
Lethem,-59.8,3.38,93.21,44,90,6.4
Akita,140.1,39.72,67.98,61,100,3.71
Djenne,-4.55,13.91,85.2,54,68,5.23
Angoche,39.91,-16.23,76.83,86,73,5.97
Matagami,8.4,9.67,69.8,88,0,10.29
Komsomolskiy,63.78,67.55,38.28,83,61,20.07
Flinders,150.85,-34.58,55.04,62,0,8.05
Deputatskiy,139.9,69.3,20.96,87,100,24.4
Abha,42.5,18.22,65.34,88,0,11.32
Aklavik,-135.01,68.22,37.4,86,75,8.05
Tortoli,9.66,39.93,66.0,82,0,5.01
Sadat,44.17,14.53,67.26,82,52,1.59
Katsuura,134.5,33.93,77.11,78,75,28.86
Tutoia,-42.27,-2.76,78.72,70,52,8.7
Beringovskiy,179.32,63.05,33.15,75,100,2.62
Itumbiara,-49.22,-18.41,94.02,19,1,1.86
El Limon,-67.63,10.3,82.09,79,13,10.8
Bubaque,-15.83,11.28,81.15,83,100,10.38
Blagoyevo,47.92,63.37,39.16,94,52,5.7
Nizwa,57.53,22.93,78.92,47,87,1.28
Bermeo,-2.72,43.42,58.71,100,75,2.24
Norfolk,-76.29,36.85,93.88,44,40,8.25
Rawson,-65.11,-43.3,55.65,20,33,9.1
Udachnyy,112.4,66.42,23.0,92,90,4.47
Pisco,-76.2,-13.71,69.71,30,0,10.29
Alofi,-169.92,-19.06,77.0,88,100,3.36
Wanning,13.53,48.64,47.01,92,61,11.01
Helena,-112.04,46.59,48.52,42,1,12.75
Mbandaka,18.26,0.05,71.36,93,40,1.32
Paralimni,23.67,40.99,67.62,62,0,1.99
Cockburn Town,-71.14,21.46,84.2,74,40,5.82
Airai,125.41,-8.93,68.53,58,0,2.95
Vernon,-119.27,50.27,52.99,57,20,4.7
Lagunas,-75.68,-5.23,90.94,49,100,1.43
Rupert,-113.68,42.62,50.0,43,1,11.41
Nemuro,145.57,43.32,62.49,92,66,14.12
Nyimba,30.81,-14.56,69.36,75,75,0.76
Hulan Ergi,123.63,47.2,44.67,45,100,16.33
Nuristan,65.64,38.49,59.0,34,0,2.24
Iquitos,-73.25,-3.75,87.8,62,75,3.36
Kavaratti,72.64,10.57,81.64,76,22,7.78
Dawei,98.19,14.07,81.06,82,51,5.93
Biak,122.88,-0.91,60.18,96,7,3.04
Champerico,-93.6,16.38,86.0,58,40,4.7
Hithadhoo,73.08,-0.6,81.87,81,100,17.16
Kota Tinggi,103.9,1.73,74.62,94,40,2.24
Cap Malheureux,57.61,-19.98,75.11,83,40,11.41
Revelstoke,-118.19,50.99,48.2,76,90,2.24
Biankouma,-7.61,7.74,70.73,95,99,4.63
Ostrovnoy,39.51,68.05,34.39,73,97,20.65
Maragogi,-35.22,-9.01,72.26,85,0,5.7
Santa Maria,-48.01,-16.02,91.2,21,0,6.93
Markova,104.21,52.21,30.2,80,0,4.47
Severo-Kurilsk,156.12,50.68,48.18,93,100,14.34
Souillac,-0.6,45.6,57.04,87,0,3.36
Saint-Michel-des-Saints,-73.92,46.68,48.99,6,17,9.66
Mokhsogollokh,128.95,61.4,24.07,95,35,6.22
Faya,42.45,18.39,65.34,88,0,2.73
Kieta,155.63,-6.22,80.97,79,68,7.63
Richards Bay,32.06,-28.77,67.45,72,0,23.11
Sobolevo,31.9,54.43,55.39,79,86,10.22
Podporozhye,34.16,60.91,41.3,88,74,5.1
Bilibino,166.44,68.06,11.26,94,100,5.48
Melfort,-104.61,52.87,44.6,56,90,9.17
Qujing,103.8,25.49,55.25,97,78,3.71
Inirida,-67.92,3.87,89.27,61,91,2.51
Kerur,75.57,16.02,75.63,79,0,6.58
Denpasar,115.22,-8.65,77.0,88,20,5.82
Cherskiy,161.3,68.75,19.97,86,19,15.19
Santa Cruz,-36.02,-6.22,76.24,59,0,14.12
Mersin,34.63,36.81,76.64,88,0,2.24
Tomatlan,-105.25,19.93,82.11,75,73,3.58
Pangai,-174.35,-19.8,75.2,83,75,9.17
Warrington,-2.59,53.39,43.07,81,40,1.12
Cabedelo,-34.84,-6.97,82.4,54,0,10.29
Sorland,12.69,67.67,35.6,64,20,9.17
Ilulissat,-51.1,69.22,50.0,29,75,21.92
Manzhouli,117.43,49.6,37.68,59,100,11.41
Camopi,-52.33,3.17,88.59,37,10,6.71
Hualmay,-77.61,-11.1,62.0,88,65,15.75
Yulara,130.99,-25.24,75.2,17,22,6.93
Cabo San Lucas,-109.91,22.89,84.92,58,20,11.41
Sorong,131.25,-0.86,73.32,93,100,1.72
Wajir,40.07,1.75,85.17,49,11,15.14
Staryy Nadym,72.68,65.61,47.31,94,100,15.99
Sawtell,153.1,-30.38,49.08,72,0,8.05
Jimma,36.84,7.67,55.57,96,77,1.1
Pochutla,-96.47,15.74,86.76,70,75,3.36
Iisalmi,27.19,63.56,39.2,86,0,11.41
Tete,33.59,-16.16,71.6,73,75,16.11
Singaraja,115.08,-8.11,80.34,72,0,7.81
Aras,-2.36,42.56,56.17,72,20,8.05
Mandera,41.86,3.94,84.99,67,47,15.68
Knyaze-Volkonskoye,135.46,48.46,46.4,87,75,20.13
Aykino,49.99,62.22,44.09,95,100,5.17
Saint George,22.34,39.45,68.0,88,20,5.82
Ngunguru,174.5,-35.62,51.01,83,95,13.02
Alekseyevsk,108.35,57.84,28.43,93,74,7.96
Vila Velha,-38.6,-3.71,84.2,54,0,14.99
Kulhudhuffushi,73.07,6.62,82.38,73,2,8.72
Alyangula,136.42,-13.85,68.0,100,100,13.89
Shizukuishi,140.98,39.7,62.77,57,100,5.46
Antigonish,-61.99,45.62,48.9,81,90,10.29
Valparaiso,-87.06,41.47,67.6,88,90,5.82
Saint-Augustin,-73.98,45.63,53.44,54,75,3.36
Viedma,-62.99,-40.81,53.81,27,0,5.95
Bela,66.31,26.23,79.08,59,40,4.65
Arlit,7.39,18.74,93.05,9,48,11.05
Itarema,-39.92,-2.92,77.59,69,0,11.95
Aroysund,10.46,59.18,44.4,81,75,6.93
Lasa,32.53,34.92,69.71,77,20,5.82
Grindavik,-22.43,63.84,44.6,70,75,28.86
Guarapari,-40.5,-20.67,76.6,58,0,2.08
Alice Springs,133.88,-23.7,66.2,25,0,6.93
Hamina,27.2,60.57,35.26,93,40,3.36
Mezen,44.24,65.85,34.69,79,67,17.63
Jiayuguan,98.29,39.77,48.45,19,96,4.68
Beni Suef,31.1,29.07,73.09,41,0,3.87
Russell,-98.86,38.9,55.45,93,90,10.29
Loa Janan,117.09,-0.58,72.85,96,58,2.04
Isangel,169.27,-19.55,68.0,82,75,18.41
Sept-Iles,-66.38,50.2,44.87,48,90,10.29
Puerto Colombia,-74.96,10.99,86.41,66,75,6.93
Rio Grande,-52.1,-32.03,68.81,83,90,6.93
Gerede,32.2,40.8,59.8,36,0,4.94
Shimoda,138.93,34.7,64.94,80,4,1.99
Hofn,-15.21,64.25,39.2,80,90,3.36
Narsaq,-46.05,60.91,53.6,30,75,25.28
Kavos,22.83,38.83,69.8,88,20,5.82
Glasgow,-4.24,55.86,44.37,93,20,8.05
Rjukan,8.59,59.88,32.0,94,77,5.99
Varangaon,75.91,21.01,74.11,96,39,5.37
Sao Filipe,-24.5,14.9,78.61,83,0,18.05
Juneau,-134.42,58.3,50.97,87,90,10.29
Arcachon,-1.18,44.65,58.5,93,75,2.24
Orumiyeh,45.08,37.55,53.6,50,0,4.7
Ust-Shonosha,41.34,61.15,39.45,96,93,6.11
Morganton,-81.69,35.75,90.86,36,40,8.05
Havre-Saint-Pierre,-63.6,50.23,50.0,31,40,10.29
Frederikshavn,10.53,57.44,48.0,86,100,4.0
Emba,32.42,34.81,69.67,77,20,5.82
Karagay,54.93,58.27,45.82,90,100,9.35
Sabang,121.11,13.8,75.0,87,63,2.53
Apt,5.4,43.88,64.9,59,0,26.4
Mana,5.27,13.03,78.69,63,14,8.1
Reconquista,-59.64,-29.14,58.26,93,100,13.33
Salvador,-38.48,-12.98,71.6,78,75,11.41
Novyy Urgal,132.56,51.07,36.46,92,100,0.31
Malkangiri,81.9,18.35,70.91,94,26,1.23
Hokitika,170.96,-42.72,48.05,51,100,2.91
Conceicao do Araguaia,-49.26,-8.26,75.43,85,100,2.01
Puerto Carreno,-67.49,6.19,95.0,47,40,4.36
Xichang,102.25,27.88,51.13,95,36,2.19
Castelo Branco,-7.5,39.82,59.0,62,94,4.05
San Pedro,-59.66,-33.68,64.2,48,0,8.01
Ramacca,14.69,37.39,71.19,69,0,8.05
Diu,70.98,20.71,75.77,87,76,6.11
Hay River,-115.79,60.82,60.8,38,75,10.29
Fukue,136.69,35.03,74.35,83,20,11.41
Vilcun,-72.23,-38.65,53.33,47,75,6.93
Xining,101.77,36.62,45.96,93,94,3.29
Tabas,56.92,33.6,82.4,20,0,4.7
Sur,59.53,22.57,85.08,54,62,12.82
Diffa,12.61,13.32,91.92,25,0,6.96
Urdoma,48.55,61.74,43.55,94,93,4.52
Margate,147.26,-43.03,49.75,76,90,5.82
Sao Joao de Pirabas,-47.18,-0.77,80.99,68,56,5.88
Northam,116.67,-31.65,48.2,93,45,3.6
Banikoara,2.44,11.3,77.89,83,63,3.94
Pevek,170.27,69.7,29.62,84,100,11.63
Chapais,-74.86,49.78,41.0,56,90,6.93
Saint-Joseph,6.97,43.56,65.61,77,0,3.36
Noumea,166.46,-22.28,66.09,77,20,2.24
Eirunepe,-69.87,-6.66,91.2,46,87,3.51
Acapulco,-99.88,16.86,86.0,79,40,9.17
Cayenne,-52.33,4.94,87.8,62,86,13.87
Hervey Bay,152.85,-25.3,56.21,87,14,6.93
Uglegorsk,142.06,49.08,49.47,94,86,17.83
Jimbolia,20.72,45.79,66.47,67,0,8.05
Utrecht,5.11,52.09,50.58,81,20,6.93
Mumbwa,27.06,-14.99,66.95,79,82,8.84
Bereda,-7.54,43.27,58.3,87,0,2.19
Bonavista,-53.11,48.65,44.01,83,25,8.01
San Juan,-68.53,-31.54,47.82,22,47,6.46
Lagoa,-8.45,37.14,66.85,53,0,12.75
Creston,-116.52,49.1,48.92,49,20,3.6
Dwarka,77.04,28.58,83.59,78,40,4.7
Mwinilunga,24.43,-11.73,64.43,64,60,4.12
Kiunga,141.3,-6.12,71.58,99,33,0.16
Condega,-86.4,13.36,78.8,65,40,4.79
Najran,44.22,17.54,82.4,28,20,6.93
Maceio,-35.74,-9.67,82.4,61,20,16.11
Kumhari,81.52,21.25,73.3,85,100,6.29
Tambovka,47.38,47.32,58.38,68,0,1.3
Huejuquilla el Alto,-103.9,22.63,76.92,56,58,5.39
Mendota,-120.38,36.75,71.96,28,1,4.7
Teluknaga,106.64,-6.1,76.12,88,20,3.36
Nouadhibou,-17.03,20.93,80.6,51,0,9.17
Pismo Beach,-120.64,35.14,73.26,49,1,6.93
Gawler,138.75,-34.6,55.76,82,75,6.93
Ribas do Rio Pardo,-53.76,-20.45,72.8,82,100,5.44
Ventspils,21.56,57.39,42.8,87,0,2.24
Bud,6.91,62.91,46.42,87,75,4.7
Sinnamary,-52.96,5.38,82.12,77,21,21.45
Baishishan,127.55,43.58,53.22,78,67,2.57
Sao Joao da Barra,-41.05,-21.64,78.8,54,0,23.04
Imbituba,-48.67,-28.24,75.2,73,0,14.99
Terrace,-128.61,54.52,46.4,87,90,2.24
Havelock,-76.9,34.88,85.95,43,1,6.93
Santo Antonio do Sudoeste,-53.73,-26.07,76.89,85,92,2.13
Kamenka,28.7,48.03,63.0,68,99,5.99
Deogarh,84.72,21.53,73.09,89,100,2.26
Mbanza-Ngungu,14.87,-5.25,75.09,79,95,1.57
Wahiawa,-158.02,21.5,82.78,65,75,11.41
Santa Rosalia,13.27,38.07,71.22,61,20,8.05
San Vicente,-80.41,-0.59,80.6,57,40,13.87
Pringsewu,104.98,-5.36,70.89,97,78,1.99
Kununurra,128.74,-15.77,66.2,59,0,4.7
Chara,22.43,39.42,68.0,88,20,5.82
Marzuq,46.47,14.4,75.66,55,22,2.95
Bonthe,-12.5,7.53,78.38,87,100,7.36
Meulaboh,96.13,4.14,78.67,80,100,4.61
Conceicao da Barra,-39.73,-18.59,73.23,64,14,8.25
Resistencia,-58.99,-27.45,60.8,100,90,5.82
Qaqortoq,-46.03,60.72,53.6,30,75,25.28
Kenitra,-6.57,34.26,66.52,82,40,9.17
Ugoofaaru,73.0,5.67,82.7,75,100,9.57
Ust-Barguzin,109.03,53.41,31.53,76,0,3.04
Ossora,163.07,59.24,37.09,95,92,4.25
Nuevo Progreso,-97.95,26.05,90.48,49,40,12.75
Ashcroft,150.9,-33.91,55.24,72,0,6.93
Colares,-9.45,38.8,64.26,68,20,13.87
Ekhabi,142.97,53.51,40.8,62,48,26.33
Skibbereen,-9.27,51.55,46.4,81,40,6.93
Phichit,100.37,16.44,75.73,93,99,1.12
Constantine,6.61,36.36,59.0,82,75,23.04
Kanigoro,112.22,-8.13,71.0,96,64,5.32
Shieli,66.74,44.18,52.93,30,0,8.77
Porto Belo,-48.54,-27.15,75.38,83,20,12.75
Gat,-16.54,14.69,84.2,74,75,9.17
Talnakh,88.39,69.49,33.8,94,75,6.71
San Jose,-87.96,14.25,77.5,67,77,2.26
Nkhotakota,34.3,-12.93,69.78,77,28,7.76
Kihei,-156.45,20.76,79.11,69,40,11.41
Semey,80.25,50.41,34.66,54,0,6.73
Necochea,-58.74,-38.55,48.99,67,0,8.99
Trincomalee,81.23,8.58,75.19,89,4,2.35
Nouakchott,-15.98,18.08,98.6,12,0,4.7
Rantepao,119.9,-2.97,57.0,95,50,2.42
Los Alamos,-106.3,35.88,71.56,16,1,6.93
Coahuayana,-100.35,18.62,81.8,70,100,2.89
Egvekinot,-179.17,66.32,29.1,95,100,2.82
Nizhniy Tsasuchey,115.13,50.52,34.24,47,99,7.78
Chegdomyn,133.04,51.13,36.01,92,100,2.68
Chiang Khong,100.41,20.27,73.4,100,0,1.28
Mikuni,136.15,36.22,71.6,88,75,3.36
Smirnykh,142.83,49.74,40.36,96,100,8.12
Sumbe,13.84,-11.2,72.46,88,72,12.01
Dryden,-92.84,49.79,41.0,75,90,10.29
Praxedis Guerrero,-106.02,31.37,77.52,47,1,6.93
Bundaberg,152.35,-24.87,57.11,87,1,6.93
Seymchan,152.39,62.93,15.34,72,18,1.81
Djibo,-1.63,14.1,87.29,43,8,7.45
Provost,-110.26,52.35,44.72,66,0,12.21
San Cristobal,-86.92,14.68,82.18,51,81,4.94
Sisimiut,-53.67,66.94,41.07,67,100,6.29
Altay,88.13,47.83,29.62,39,0,9.17
Mairi,-40.15,-11.71,71.94,74,6,4.34
Port Hawkesbury,-61.36,45.62,48.34,81,90,10.29
Acurenam,10.67,1.03,67.96,99,99,3.76
Maniitsoq,-52.9,65.42,43.78,58,100,7.81
Conde,-37.61,-11.81,72.53,86,88,4.88
Huadian,126.75,42.97,54.71,75,7,2.73
Dehloran,47.27,32.69,77.23,25,0,6.64
Kutum,24.66,14.2,79.23,40,47,11.14
Saint Anthony,-111.68,43.97,42.19,60,90,6.93
Mayo,-135.9,63.59,42.8,87,75,3.31
Mpika,31.4,-11.84,64.99,78,82,9.51
Bandarbeyla,50.81,9.49,76.24,77,25,4.65
Zinder,8.99,13.81,87.8,48,0,4.7
Podgorenskiy,39.64,50.4,52.73,66,56,6.85
Tezu,96.16,27.93,68.93,83,7,2.53
Zharkent,80.0,44.17,34.6,83,17,0.54
Hirara,125.28,24.8,80.27,82,0,6.93
Srandakan,110.25,-7.94,75.0,90,100,4.5
Obo,26.49,5.39,70.24,95,71,1.68
Carutapera,-46.02,-1.2,80.85,73,61,9.17
